Conversation,Label,scam_probability
"Dad, this is Arjun. Friend's family power connection enhancement fee. Need ₹23,000 for increased electrical capacity.",Fraud,85.95
"Hello, this is Rajesh from HDFC Bank. You're selected for Premium Banking Advisor role. Pay ₹5,600 for wealth advisory and portfolio management training.",Fraud,95.42
"Beta, this is your mom calling. I attended your school friend Meera's wedding yesterday. Her family inquired about you warmly.",Normal,39.48
"Emergency assistance! This is your Brother-in-law from Nagpur. Your Brother had vehicle accident, critical condition. Need ₹60,000 now.",Fraud,90.02
"Hello, I'm Kavitha from Tripura Lottery Commission. Your heritage lottery includes historical monument restoration project prizes.",Normal,12.27
"Hello Meera, this is from West Bengal State Lottery. Your prize collection process has been started and will be completed soon.",Normal,40.36
"Hello, this is Meera from Airtel Customer Support. Your billing issue complaint has been escalated to billing department. You'll receive callback within 24 hours.",Normal,42.23
"Hello, this is Kavitha from ESAF Small Finance Bank. Your micro-enterprise loan has been sanctioned for ₹50,000.",Normal,18.97
"Hi, this is Priya from Indian Overseas Bank. Your clerk position international remittance digitization coordination has been confirmed for global banking services.",Normal,45.63
"Sir, this is Meera from Alt Balaji Careers. You've been chosen for Content Writer role. Pay ₹7,100 creative development fee via PhonePe to altbalaji@upi.",Fraud,80.32
"Hello son, this is your dad calling from Chennai. I arrived safely and the conference went well. Will be home tomorrow evening.",Normal,36.18
"Son Rajesh, Dad calling from police station. False criminal charge, need emergency bail. Amount ₹3,00,00,000.",Fraud,88.37
"Hi, your HDFC Bank card has been shipped. You will receive it shortly.",Normal,34.72
"Hello dear, this is your grandma calling from your nephew's house warming. New home is beautiful and well-designed. Very happy for them.",Normal,40.13
"This is Raghunath from Media Investigation Jobs. To begin as news reporter, pay ₹4,900 via Paytm for journalism resources.",Fraud,92.88
"This is Suresh from Educational Scholarship Board. Final payment pending verification. Pay ₹2,100 administrative fee via UPI.",Fraud,81.37
"Hello, this is Suresh from SBI Customer Care. We need to verify your KYC information urgently. Please share your Aadhaar details and mobile authentication code to proceed immediately.",Fraud,80.31
"Sir, this is Ravi from ESET Business Security. Your office mobile device contains malware accessing corporate email and calendar. Pay ₹2,800 for mobile protection.",Fraud,96.78
This is Kavitha from Government Bond ETF. Your sovereign securities fund is completely secure with government guarantee on principal and interest.,Normal,20.14
"Hello, this is Dr. Meera from Apollo Hospital. Your diabetes control is showing excellent progress. Continue current treatment and lifestyle changes.",Normal,11.26
This is Meera from SBI Asset Management. We offer systematic portfolio transfers to reallocate funds between schemes based on market trends and investor requirements.,Normal,39.52
"Sir, this is Rajesh from Windows Security Update Center. Your computer security definitions are 45 days old and system exposed. Allow remote access.",Fraud,84.44
"Kavya beta, this is your grandmother. I fell and injured my hip. Doctor says I need urgent surgery costing ₹2 lakhs. Please arrange funds quickly.",Fraud,88.28
"Good morning, this is Meera from Assam State Lottery regarding your ticket AS-567 winning. You won ₹22 lakh tea estate special. Collection at Guwahati center.",Normal,45.04
"Hello, this is Suresh from Star Health Insurance. We specialize in diabetic care coverage including glucose monitoring, medicines, and complication treatment.",Normal,35.99
"Sir, I am Raghunath from Caribbean Investment Program. You can invest in Caribbean citizenship program and get guaranteed 75% returns plus island nation passport benefits.",Fraud,95.96
"Sir, emergency from Amazon Security Team! Your account is being accessed from different countries. Share your login credentials and card PIN to prevent international fraud.",Fraud,94.22
"Hi, this is Kavitha from Jio Premium. Your usage shows you're a power user. We've automatically enhanced your plan with 100GB additional data!",Normal,21.3
This is Rajesh from telecom licensing board. Your mobile permit requires immediate extension. Pay ₹350 fee via UPI.,Fraud,94.54
"Hello, this is Meera from SBI Security Division. Your account is being investigated for irregular transactions. Share your account information.",Fraud,82.23
"Good morning, this is Kavitha from Software Testing Excellence. Your quality assurance framework and testing metrics dramatically improve software reliability.",Normal,33.9
"This is Inspector Raghunath from Financial Crimes Unit. Your property investment fraud penalty is ₹2,35,000. Pay immediately.",Fraud,95.24
"Son, this is your Aunt from Mumbai. Your uncle purchased beautiful jewelry for your future bride.",Normal,10.08
"Hello, this is Suresh from Aurees Technologies. You're hired as Version Control Manager. Transfer ₹2,400 for Aurees and git development training.",Fraud,82.92
"Good morning, this is Meera from Niva Bupa Insurance. We provide cashless medical facilities at premium hospitals with rapid pre-approval processing.",Normal,36.11
"Hi, this is Raghunath from Airtel International. Your global roaming package includes data and voice benefits for 30 countries.",Normal,34.23
"This is Arjun from ESET Comprehensive Security. Your online banking sessions are being monitored by malicious software. Renew protection for ₹4,800 urgently.",Fraud,87.98
"Hello, this is Meera from Bank of India. Your monthly account summary for May 2025 has been delivered to your registered email.",Normal,17.33
"Rajesh, this is your Uncle from Kerala. Your little nephew won first prize in science fair. He wants to become an engineer like you.",Normal,35.65
"Hi, I'm calling from Myntra customer service. Your trouser alteration is ready. Collect from our Indiranagar store anytime today.",Normal,16.27
"Sir, this is Kavitha from Vi Prize Department. You've won a luxury apartment in Delhi worth ₹5 crore! Pay ₹1 lakh registration tax.",Fraud,96.63
"This is Inspector Raghunath from Anti-Corruption Division. Your government contract security amount is ₹2,35,000. Transfer immediately.",Fraud,82.95
"Hello, this is Meera from CBSE Educational Portal. Your child receives ₹30000 merit scholarship. Transfer ₹600 processing fee.",Fraud,88.92
"Hello, this is Inspector Suresh from Balasore Police. We have apprehended the person who was stealing power cables in your locality.",Normal,26.83
This is Kavitha from Wockhardt Medical Center. Your health screening package is scheduled for Saturday. Please come after 12-hour fasting.,Normal,35.98
"Hello, I'm Meera from Arunachal Pradesh Lottery Commission. We're conducting a spice lottery with agricultural training and export marketing education.",Normal,36.43
"This is Suresh from Punjab State Lottery center. Your festival celebration ticket won ₹75,000. Please visit with necessary documents.",Normal,10.84
"Sir, this is Rajesh from KBC Prize Division. Amitabh Bachchan personally chose you as winner of ₹75 lakh. Send ₹7500 entry fee to claim before midnight.",Fraud,93.52
"Hello, this is Ravi from Reliance Digital. Your appliance warranty enrollment is complete. You'll receive confirmation certificate via email within 24 hours.",Normal,30.11
"Hello, this is Suresh from Star Health Insurance. We specialize in diabetic care coverage including glucose monitoring, medicines, and complication treatment.",Normal,38.02
"This is Dr. Meera from Manipal Cancer Institute. Your cellular analysis shows tumor diversity patterns. Purchase our targeted therapy combination for ₹1,855,999 now.",Fraud,96.89
"Hi, this is Kavitha from ICICI Bank. Your monthly statement for savings account has been created and sent to your registered email address.",Normal,14.53
This is Suresh from Snapdeal customer care. You are qualified for cash reward of Rs. 2.5 lakh. Pay Rs. 12500 handling tax via UPI to claim your prize.,Fraud,88.94
"Hello, this is Meera from Crypto Investment Group. Bitcoin will reach 50 lakh by year-end. Invest ₹35000 now to become crorepati.",Fraud,82.67
This is Senior Commissioner Ravi Kumar from Mumbai Police. We discovered your PAN card with a criminal suspect. Provide your bank information for verification.,Fraud,90.48
"Hello, this is Kavitha from Urban Development Ministry. Your urban renewal project approval has been granted.",Normal,18.83
"Hi, this is Meera from Airtel Coverage. Your network service has been expanded to rural areas during your travels. Stay connected even in hills!",Normal,45.84
"Hi, this is Kavitha from Kotak Asset Management. Your sector-focused fund targeting digital transformation has delivered outstanding returns this year.",Normal,30.46
"Hi, this is Meera from Punjab State Lottery. Your special lottery ticket won ₹15 lakh. Prize ceremony is on Saturday at our Ludhiana office.",Normal,16.07
"Hello, this is Ravi from Flipkart Mega Prize. You won ₹5,00,000 shopping credits! Pay ₹15,000 VIP membership fee to claim.",Fraud,91.54
"Hello, this is Kavitha from Tamilnad Mercantile Bank. Your jewelry loan interest due ₹25,000. Pay immediately to prevent liquidation.",Fraud,84.37
"Sir, this is Suresh from National Investigation Agency. Your financial crime case - transfer ₹74,000 to close investigation.",Fraud,81.25
This is Kavitha from Myntra Account Security. Your profile will be deactivated due to terms violation. Share Aadhaar authentication code to reactivate account.,Fraud,83.44
"Hello, this is Meera from BookMyShow Cinema. We've added premium IMAX screenings for the film you were tracking. Tickets are now available for purchase.",Normal,49.77
"Hello, this is Inspector Rajesh from Durg Crime Branch. Burglary threat identified. Pay ₹40,000 for security protection.",Fraud,94.48
"Sir, this is Joint Commissioner Raghunath from CBI. Your trading business shows tax evasion. Transfer ₹17,50,000 fine amount.",Fraud,97.55
"Good morning, this is Kavitha from Embassy Properties. Your flat's finishing work certificate is ready. Please collect from the sales office.",Normal,47.52
"Hello, I'm Suresh from Emergency Management Authority. Your emergency permit expired. Pay ₹18,000 extension fee today.",Fraud,95.4
"Madam, urgent call from Paytm security! Your account is compromised by overseas fraudsters. Transfer your money to safe number 3322110099 right now.",Fraud,91.45
"Good evening, this is Meera from Employment Department. Your employment license EL987654321 renewal is processed. Please collect updated certificate from office.",Normal,21.05
"Hello, this is Kavitha from Union Bank. Your senior citizen medical insurance premium has been auto-debited. Your coverage is now active for another year.",Normal,24.6
"Good morning, this is Suresh from Trading Mastery Institute. Profit from derivatives without stock ownership. Our accuracy rate is 98%. Program fee ₹1 lakh with revenue sharing.",Fraud,80.05
"Sir, this is Meera from National Consumer Protection Board. You owe ₹15,000 in legal fees. Pay via UPI.",Fraud,86.03
"This is Rajesh from Liberty General Insurance. We provide comprehensive insurance coverage for property, health, travel, and vehicle insurance with cashless benefits.",Normal,49.55
"Good morning, this is Kavitha from Mirae Asset Management. Your infrastructure fund invests in transport and storage companies. It gains from online commerce expansion.",Normal,36.42
"Hi, this is Ravi from HDFC Mutual Fund. Your government securities fund invests in treasury and bank bonds. It has zero default risk.",Normal,49.03
"This is your brother Rajesh calling from Bhubaneswar. Brother, I got cheated in land deal and lost everything. Need ₹75000 to survive.",Fraud,92.3
"Good evening, this is Meera from Karnataka State Lottery center. Your bulk purchase discount has been processed. Savings of ₹500!",Normal,36.95
This is Suresh from System Cleaner calling. Your computer registry errors will cause system crashes. Pay ₹2699 via GPay for instant repair.,Fraud,96.38
"Sir, I am Kavitha from Apple Investment India. Tim Cook personally selected Indian investors for Apple's confidential project with guaranteed 85% profits.",Fraud,83.13
"Hello, this is Ravi from OLX Customer Support. Your listing performance data is ready. See which search terms attract more buyers to your ads!",Normal,31.54
This is Kavitha from Taurus Investments. Your market neutral fund generates steady returns through price difference arbitrage strategies.,Normal,22.22
"Sir, this is Suresh from Mobile Authentication Board. Verify SIM legitimacy with bank statement or face immediate service suspension.",Fraud,91.43
"Good morning, this is Inspector Meera from Kerala Police. Your building construction police verification is completed.",Normal,30.7
This is Ravi from Go Digit Health Insurance. We offer flexible health insurance products with customizable coverage based on personal requirements.,Normal,49.82
"Good morning, this is Suresh from Kotak Securities. Your equity holding of 100 shares has been successfully pledged for trading margin.",Normal,32.58
"Hello, this is Inspector Meera from Kerala Police. Your medical facility license police clearance approved for patient care.",Normal,15.81
"Hello, this is Inspector Rajesh from Lundra Police Financial Crimes. You have outstanding land tax of ₹46,000. Clear payment today or face property seizure proceedings.",Fraud,85.96
"Dear citizen, this is Suresh from Election Commission. Electronic voting system demonstration planned in your area.",Fraud,80.13
"Hello, this is Ravi from Paytm Mall Prize Club. You're our featured customer today! Win ₹25,000 by paying ₹500 entry fee now.",Fraud,87.08
"This is Kavitha from Arunachal Pradesh State Lottery center. Your weekly lottery ticket won ₹23,000. Prize verification is in progress.",Normal,27.35
"Hello, this is Meera from Ludo King Gaming. Your tournament wins earned you ₹8,500 reward coins. Check your game account wallet.",Normal,31.3
"Good evening, this is Kavitha from HDFC Life Retirement Plans. Your pension payment for this quarter has been credited to your chosen account.",Normal,11.8
"Good morning, I'm Kavitha from Hyderabad calling. Your application for Infrastructure Engineer is approved. Please join for system development training next Monday.",Normal,13.56
"Good morning, this is Meera from Rubber Development Board. Your rubber manufacturing license RP456789123 is processed. Please collect from office.",Normal,18.86
"Sir, this is Meera from Fitness Certification Council. Your trainer license suspended. Pay ₹8,000 renewal fee.",Fraud,84.76
"Good morning, this is Kavitha from Myntra Fashion. Your clothing order return has been processed. Refund will appear in 3-5 business days.",Normal,19.49
"Sir, this is Suresh from Zee5 Careers. Pay ₹2,800 platform access fee via Paytm to confirm your content reviewer position.",Fraud,90.35
"Sir, this is Meera from SBI Asset Management. Your monthly investment amount has been increased from ₹3,000 to ₹5,000 as requested.",Normal,37.11
"Hello, this is Kavitha from Karnataka Bank. Your officer position company vehicle benefit has been arranged according to your grade and position entitlement.",Normal,49.09
"Hello, this is Meera from Lloyd Climate Solutions. Your ceiling air conditioner's drainage cleaning and antimicrobial treatment is scheduled this month.",Normal,33.59
"Sir, this is Kavitha from Myntra Security Recovery. Hackers attempting to modify your stored payment details. Share card security code and expiry for protection.",Fraud,93.62
"Hello, this is Raghunath from Swiggy Partner Services. Your restaurant verification is delayed. Pay ₹2200 processing fee via Paytm now.",Fraud,82.82
"Good afternoon, I'm Suresh from Tax Department. Your business registration is suspended. Pay ₹5,000 reactivation fee immediately.",Fraud,92.69
This is Ravi from Axis Bank customer support. Your account has suspicious transactions. Share your account information.,Fraud,83.03
"This is Suresh from Railway Catering Prize Division. You won ₹65 lakhs! Send ₹15,000 as handling fee via UPI immediately.",Fraud,90.24
"Hello, I'm Suresh from Salon License Authority. Your beauty parlor permit expired. Pay ₹3,000 renewal fee today.",Fraud,90.91
"Good morning, I'm Meera from University of Oxford. Your mechanical engineering degree approved. Pay ₹41 lakhs engineering program fee urgently.",Fraud,81.51
"Sir, this is Ravi from Spotify Premium Security. Your family account access is being tracked for location policy violations. Verify for ₹2,499.",Fraud,82.13
"This is Kavitha from National Minority Commission. Pay ₹6,500 minority rights complaint filing fee now.",Fraud,83.79
"Hi, this is Suresh from Flipkart Customer Support. Your technology browsing history shows interest in gaming products. Check out special gaming offers!",Normal,47.96
This is from Advertising Regulatory Authority. Your marketing license is cancelled. Pay ₹1 lakh fine via UPI to continue business.,Fraud,82.68
"Hello Arjun! You won ₹1.5 crore in European Lottery. Pay ₹8,800 import duty fee via UPI to claim your prize.",Fraud,95.67
"Sir, this is Senior Inspector Rajesh from Counter-Terrorism Unit. Your religious organization audit penalty is ₹4,15,000. Pay today.",Fraud,97.52
"Suresh, this is your dad. Don't forget to pay your card bill before deadline. You know how penalty charges can accumulate quickly.",Normal,11.22
"Hello sir, this is Raghunath from Caribbean Investment Citizenship. You can invest in Caribbean citizenship program and get guaranteed 68% returns plus island nation passport benefits.",Fraud,97.48
"Dad, Kavya speaking. Friend's home caught fire. Her family needs ₹40,000 urgently. I promised to help them.",Fraud,94.39
"Hello, this is Inspector Suresh from Kerala Police. Your marine license renewal health checkup is scheduled Monday.",Normal,37.03
This is Suresh from Haryana State Lottery center. Winners must collect prizes in person or authorize someone with proper legal documentation.,Normal,38.91
"Good morning Kavya, this is Rajesh from WhiteHat Jr Educational Fund. Your ₹2.3 lakh programming scholarship requires ₹5,900 processing fee.",Fraud,91.94
"Sir, this is Ravi from HDFC Bank wealth management. We have a special promotion on personal loans at 9.5% interest rate. Are you interested?",Normal,19.97
"This is Ravi from Amazon Pay. Your recent transaction of ₹15,000 is under security review. It may take 24 hours to complete.",Normal,22.94
"This is Suresh from Career Success Academy. Guaranteed government banking job placement. Pay ₹54,000 training fee now.",Fraud,92.4
"Sir, this is Suresh from Grubhub Prize Division. You won delivery credits $16,000! Pay ₹7,000 Grubhub processing fee via PhonePe.",Fraud,85.51
This is Officer Ravi from Traffic Police. Your vehicle insurance claim has been processed. Please collect the paperwork.,Normal,20.51
"Hello Suresh, this is Aunt from Kanpur. Your cousin Rohit got admission in IIT. We are all very excited and proud.",Normal,25.53
"Good afternoon, this is Meera from Haryana State Lottery Department. Your HR-456 ticket won ₹32 lakh smart city draw. Visit Gurugram center for collection.",Normal,33.22
"Hi, this is Kavitha from Tamil Nadu Mercantile Bank. Your clerk position probation completion certificate is ready for collection from the HR office.",Normal,47.88
"Good morning, this is Suresh from Andhra Pradesh Lottery Board calling. Your culinary lottery includes cooking workshops with celebrity chefs.",Normal,49.19
This is Rajesh from Amazon delivery team. Your package is out for delivery but security requires delivery authorization fee of ₹250 via online payment.,Fraud,96.48
"Hello sir, this is Ravi from Axis Bank fraud prevention. Your account is being accessed from unknown device. Share your PIN.",Fraud,92.78
"Good morning, this is Dr. Meera from Max Hospital. Your mother's knee replacement recovery is excellent. Full mobility is now allowed.",Normal,27.05
"Dear customer, this is Kavitha from Bank of Maharashtra. Your pension account activation is complete. First pension will be deposited soon.",Normal,45.74
"Good morning, this is Suresh from Entertainment Fund. We invest in gaming and media companies. 45% returns from entertainment sector. Minimum investment ₹95,000.",Fraud,88.77
"Hi, this is Kavitha from IDBI Bank. Your clerk position trade finance solution implementation project coordination has been assigned.",Normal,46.47
This is Meera from Domino's Customer Support. Your pizza innovation ideas inspire our recipe development team. Keep experimenting with new flavors!,Normal,43.17
"Good morning, this is Vice Chancellor Kumar from Traditional Medicine University Prize. Your Ayurvedic knowledge won ₹3 lakh heritage healing award. Visit Ayurveda department.",Normal,37.78
"Hello, this is Kavitha from DLF Utilities. Your monthly water bill includes borewell maintenance and water testing charges. Amount is ₹4,800.",Normal,35.98
"This is your brother Suresh calling from Raipur. Brother, I had accident and broke my arm. Need ₹45000 for surgery. Please help me.",Fraud,85.08
"Emergency call! Your Brother-in-law from Pune. Your sister's mental health crisis, psychiatric care costs ₹1,00,000 monthly.",Fraud,84.4
"Good evening, this is Kavitha from Assam State Lottery. Your ticket number AS789012 won ₹7 lakh. Please visit our Guwahati office for prize collection procedures.",Normal,39.39
"Sir, this is Meera from T-Series Employment. You're selected for Music Production Manager role. Pay ₹6,800 studio equipment fee via PhonePe to tseries@upi.",Fraud,89.05
"Dear customer, this is Suresh from 99designs Professional. Your design competition was suspended due to intellectual property concerns. Pay ₹2200 legal verification fee to reactivate entries.",Fraud,89.18
"Good morning, this is Suresh from Lottery Sambad Shillong center. Your weekly lottery ticket won ₹20,000. Prize verification is in progress.",Normal,41.15
"Hello sir, this is Raghunath from Mediterranean Fishing Investment. You can invest in Malta fishing industry and get guaranteed 55% returns plus seafood trading business.",Fraud,93.49
"Good morning, this is Kavitha from TCS Human Resources. We received your application and would like to schedule an interview next week. Please confirm your availability.",Normal,39.2
This is Ravi from Symantec Security Protection. Your computer is infected with banking malware stealing financial credentials. Install TeamViewer for cleanup.,Fraud,87.91
"Good morning, this is Inspector Suresh from Pendra Police Station. Face masks and sanitizers available for residents. Collect from police station.",Normal,18.87
"Sir, this is Meera from Lotus Investment Solutions. Bloom like lotus from poverty mud! Invest ₹3.4 lakhs and blossom into wealthy lotus!",Fraud,88.99
"Dear customer, this is Kavitha from Jio Premium. You've been chosen for a cash prize of ₹90,000. Pay ₹4,000 handling tax to receive it.",Fraud,96.68
"Good evening, this is Kavitha from HackerEarth Premium Services. Your coding challenge results impressed several companies. Check career opportunities.",Normal,36.67
"Hello Kavya, this is Suresh from AVALANCHE Educational Initiative. Pay ₹3,100 processing fee to avalanche.education@paytm for ₹2.0 lakh scholarship.",Fraud,80.34
